id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype”,Checks if a value conforms to a specified datatype”,14.448814886766836,57.14285714285715,21.05263157894737,47.61904761904762,83.37322473526001
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,50.9568718854327,73.68421052631578,61.111111111111114,73.68421052631578,90.04218578338623
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing the datatype, a callable, and a list of subtypes for a given datatype string.","Retrieves datatype information (type, callable, and subtypes) for a given datatype string, or None if not found.",8.039313477786735,36.36363636363636,12.903225806451616,30.303030303030297,65.93111157417297
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,6.2886892772573475,28.571428571428577,7.692307692307692,21.428571428571427,64.70394134521484
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52005577087402
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.",7.432998184513635,33.333333333333336,18.18181818181818,33.333333333333336,69.79456543922424
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, handling includes and logging the process.","Loads and merges multiple VSpec files, handling includes and logging the process.",34.98761149110957,46.15384615384615,41.666666666666664,46.15384615384615,78.10276746749878
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”",49.73567356124545,85.71428571428572,63.1578947368421,85.71428571428572,87.05369830131531
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid, otherwise None.","Validates if a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid, otherwise raises an assertion error.",3.2808945250121395,27.77777777777778,5.88235294117647,22.22222222222222,56.783777475357056
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model resolution errors.","Creates and resolves a VSSRaw object from a dictionary, returning it even if validation or model resolution fails.",3.0372940354383413,19.35483870967742,0.0,19.35483870967742,72.46038317680359
